ID     dec  year mo dy hr name       allLat     allLon     midLat     midLon     firstLat   firstLon   lastLat    lastLon
189107 1890 1891 10  4 12 NOT NAMED   26.069107 -77.998821  17.035149 -80.244474  16.375750 -79.747291  37.096268 -68.268984
189201 1890 1892  6  9  0 NOT NAMED   28.500278 -77.374473  28.380702 -76.349629  21.475224 -83.499110  32.849999 -76.000000
189204 1890 1892  9  8 18 NOT NAMED   38.877024 -84.178918  25.038106 -93.812403  23.050870 -93.471943  58.884320 -53.773086
189209 1890 1892 10 21  0 NOT NAMED   28.921511 -79.992010  24.216553 -90.631614  23.350673 -91.975932  36.150884 -66.505908
189301 1890 1893  6 12  6 NOT NAMED   33.772897 -79.312261  37.729501 -73.709146  21.400690 -94.527063  45.204625 -55.409316
189304 1890 1893  8 15  6 NOT NAMED   27.651708 -57.195706  28.208950 -69.823403  14.327730 -38.098703  50.765987 -55.323305
189306 1890 1893  8 15 12 NOT NAMED   30.423103 -53.698515  22.354954 -60.481281  17.426662 -21.277146  54.152879 -42.813494
189308 1890 1893  9  4  6 NOT NAMED   27.234437 -89.706553  25.528461 -91.861642  19.252572 -86.571285  34.300074 -88.626069
189309 1890 1893  9 25  6 NOT NAMED   22.253971 -54.543593  13.896611 -49.305308  11.651523 -26.249847  53.902908 -69.594966
189310 1890 1893  9 27 12 NOT NAMED   27.026891 -85.348597  28.039849 -90.286266  17.352141 -82.971385  35.242801 -73.146262
189311 1890 1893 10 20 12 NOT NAMED   28.458965 -78.053661  28.138940 -77.584999  20.254900 -80.139061  37.229769 -76.228805
189402 1890 1894  8  5  6 NOT NAMED   29.662763 -88.577781  28.026639 -88.193374  27.200612 -88.777062  31.427201 -90.348455
189404 1890 1894  9 18  0 NOT NAMED   25.187727 -70.812420  15.309020 -61.988300  13.476231 -51.449726  40.464634 -70.415228
189405 1890 1894 10  1  0 NOT NAMED   27.453755 -81.707962  23.389770 -86.804785  13.250316 -79.649075  54.279254 -64.839129
189501 1890 1895  8 14  6 NOT NAMED   29.890987 -89.493597  28.413868 -90.379424  27.750306 -90.901079  32.550129 -88.151866
189504 1890 1895 10  2  0 NOT NAMED   22.041697 -90.966612  22.041697 -90.966612  17.852411 -84.173163  28.982380 -94.783856
189506 1890 1895 10 13  6 NOT NAMED   23.322399 -87.580107  23.322399 -87.580107  20.301411 -92.728048  26.209958 -80.913133
189601 1890 1896  7  4 12 NOT NAMED   37.083993 -82.719289  25.940640 -85.237045  22.177633 -82.368879  58.070578 -69.846360
189602 1890 1896  8 30  6 NOT NAMED   27.311580 -70.674040  24.275388 -76.973629  14.677315 -60.972716  44.351370 -69.809606
189604 1890 1896  9 22  6 NOT NAMED   21.465056 -75.953813  20.804259 -84.189896  16.702827 -63.275004  37.354999 -79.516246
189605 1890 1896 10  7  0 NOT NAMED   35.813265 -74.219604  33.060916 -74.959823  23.128943 -89.703439  51.782321 -54.782118
189702 1890 1897  9 10  6 NOT NAMED   27.272942 -87.452534  25.278295 -83.278945  24.228763 -81.446512  30.164509 -94.861225
189703 1890 1897  9 20 12 NOT NAMED   35.353774 -76.198336  26.803765 -82.248903  25.801700 -82.831640  47.821979 -63.767584
189705 1890 1897 10  9 18 NOT NAMED   21.701051 -75.509093  20.766919 -80.320147  12.652727 -63.248921  39.976476 -60.703293
189706 1890 1897 10 23  6 NOT NAMED   35.187030 -70.146041  34.553145 -74.426071  26.726679 -76.460664  42.229629 -59.316310
189801 1890 1898  8  2  0 NOT NAMED   29.406307 -84.074870  29.406307 -84.074870  27.785750 -81.637937  30.980846 -86.589186
189802 1890 1898  8 30  6 NOT NAMED   31.840636 -81.965335  31.035689 -80.091553  30.450659 -79.621500  32.806818 -84.772309
